ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness,liga
192985, K. De Bruyne,29,https://cdn.sofifa.com/players/192/985/20_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,91,91,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€87M,€370K,2304,Right,4.0,5.0,4.0,High/ High,PLAYER_BODY_TYPE_321,Yes,"<span class=""pos pos13"">RCM",17.0,"Aug 30, 2015",,2023,5'11,154lbs,94.0,82.0,55.0,94.0,82.0,88.0,85.0,83.0,93.0,92.0,77.0,76.0,78.0,91.0,76.0,91.0,63.0,89.0,74.0,91.0,76.0,66.0,88.0,94.0,84.0,91.0,,65.0,53.0,15.0,13.0,5.0,10.0,13.0,CAM,91.0,€161M,68.0,Premier league
212198, Bruno Fernandes,25,https://cdn.sofifa.com/players/212/198/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,87,90,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€63M,€195K,2303,Right,2.0,4.0,4.0,High/ High,Lean (170-185),Yes,"<span class=""pos pos18"">CAM",18.0,"Jan 30, 2020",,2025,5'10,152lbs,87.0,77.0,58.0,88.0,86.0,85.0,86.0,87.0,87.0,88.0,78.0,76.0,79.0,86.0,79.0,89.0,72.0,94.0,67.0,89.0,70.0,74.0,83.0,90.0,91.0,86.0,,67.0,55.0,12.0,14.0,15.0,8.0,14.0,CAM,88.0,€124.4M,72.0,Premier league
181291, G. Wijnaldum,29,https://cdn.sofifa.com/players/181/291/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,85,85,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€37M,€150K,2267,Right,3.0,4.0,4.0,High/ High,PLAYER_BODY_TYPE_308,Yes,"<span class=""pos pos15"">LCM",5.0,"Jul 22, 2016",,2021,5'9,152lbs,72.0,75.0,78.0,88.0,73.0,85.0,78.0,73.0,81.0,88.0,77.0,76.0,84.0,86.0,88.0,78.0,81.0,93.0,74.0,73.0,75.0,79.0,79.0,79.0,74.0,86.0,,79.0,69.0,16.0,6.0,14.0,12.0,6.0,CM,85.0,€68.5M,78.0,Premier league
195864, P. Pogba,27,https://cdn.sofifa.com/players/195/864/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,86,87,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€50M,€190K,2235,Right,4.0,4.0,5.0,High/ Medium,PLAYER_BODY_TYPE_330,Yes,"<span class=""pos pos9"">RDM",6.0,"Aug 9, 2016",,2021,6'3,185lbs,80.0,75.0,75.0,86.0,84.0,87.0,85.0,82.0,91.0,90.0,66.0,79.0,73.0,81.0,66.0,90.0,82.0,83.0,89.0,82.0,78.0,64.0,81.0,88.0,83.0,87.0,,67.0,65.0,5.0,6.0,2.0,4.0,3.0,CM,86.0,€98.8M,63.0,Premier league
183711, J. Henderson,30,https://cdn.sofifa.com/players/183/711/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,86,86,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€36.5M,€140K,2220,Right,2.0,3.0,3.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos13"">RCM",14.0,"Jun 9, 2011",,2023,6'0,176lbs,82.0,73.0,65.0,86.0,71.0,78.0,80.0,74.0,87.0,84.0,66.0,65.0,69.0,86.0,68.0,77.0,78.0,91.0,78.0,75.0,84.0,85.0,78.0,83.0,64.0,82.0,,83.0,77.0,7.0,13.0,7.0,9.0,13.0,CDM,86.0,€67.5M,84.0,Premier league
231281, T. Alexander-Arnold,21,https://cdn.sofifa.com/players/231/281/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,87,92,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€60M,€110K,2220,Right,2.0,4.0,3.0,High/ Medium,PLAYER_BODY_TYPE_316,Yes,"<span class=""pos pos3"">RB",66.0,"Oct 7, 2015",,2024,5'11,152lbs,93.0,56.0,69.0,85.0,62.0,77.0,88.0,85.0,89.0,87.0,77.0,83.0,74.0,83.0,74.0,80.0,66.0,88.0,62.0,74.0,74.0,82.0,76.0,84.0,55.0,81.0,,83.0,79.0,14.0,15.0,14.0,6.0,7.0,RB,87.0,€115.5M,79.0,Premier league
173731, G. Bale,30,https://cdn.sofifa.com/players/173/731/20_60.png,Wales,https://cdn.sofifa.com/flags/gb-wls.png,83,83,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,€24.5M,€130K,2213,Left,4.0,3.0,4.0,Medium/ Medium,PLAYER_BODY_TYPE_357,Yes,"<span class=""pos pos28"">SUB",9.0,,"<a href=""/team/243/real-madrid/"">Real Madrid</a>","Jun 30, 2021",6'1,181lbs,87.0,81.0,84.0,80.0,85.0,80.0,90.0,87.0,79.0,83.0,86.0,89.0,78.0,79.0,65.0,90.0,82.0,69.0,77.0,87.0,65.0,59.0,83.0,79.0,76.0,85.0,,55.0,52.0,15.0,15.0,11.0,5.0,6.0,RW,83.0,,54.0,Premier league
209331, M. Salah,28,https://cdn.sofifa.com/players/209/331/20_60.png,Egypt,https://cdn.sofifa.com/flags/eg.png,90,90,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€78M,€250K,2211,Left,3.0,3.0,4.0,High/ Medium,Mohamed Salah,Yes,"<span class=""pos pos23"">RW",11.0,"Jul 1, 2017",,2023,5'9,157lbs,79.0,91.0,59.0,84.0,79.0,90.0,83.0,69.0,75.0,89.0,94.0,92.0,91.0,92.0,91.0,80.0,69.0,85.0,75.0,84.0,63.0,55.0,91.0,84.0,83.0,90.0,,43.0,41.0,14.0,14.0,9.0,11.0,14.0,RW,90.0,€144.3M,38.0,Premier league
201942, Roberto Firmino,28,https://cdn.sofifa.com/players/201/942/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,87,87,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€52M,€190K,2208,Right,3.0,4.0,5.0,High/ High,PLAYER_BODY_TYPE_315,Yes,"<span class=""pos pos21"">CF",9.0,"Jul 6, 2015",,2023,5'11,168lbs,73.0,80.0,75.0,87.0,85.0,90.0,81.0,65.0,76.0,91.0,78.0,77.0,85.0,90.0,86.0,82.0,81.0,88.0,74.0,77.0,75.0,58.0,86.0,86.0,72.0,88.0,,64.0,42.0,8.0,11.0,9.0,6.0,10.0,CF,87.0,€96.2M,60.0,Premier league
208722, S. Mané,28,https://cdn.sofifa.com/players/208/722/20_60.png,Senegal,https://cdn.sofifa.com/flags/sn.png,90,90,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€78M,€250K,2203,Right,3.0,4.0,4.0,High/ Medium,PLAYER_BODY_TYPE_313,Yes,"<span class=""pos pos27"">LW",10.0,"Jul 1, 2016",,2023,5'9,152lbs,76.0,90.0,84.0,85.0,75.0,91.0,76.0,64.0,71.0,89.0,95.0,93.0,93.0,93.0,86.0,84.0,86.0,88.0,70.0,78.0,75.0,35.0,92.0,85.0,71.0,84.0,,42.0,38.0,10.0,10.0,15.0,7.0,14.0,LW,90.0,€144.3M,42.0,Premier league
209297, Fred,27,https://cdn.sofifa.com/players/209/297/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,81,83,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€19M,€115K,2197,Left,1.0,4.0,4.0,High/ High,Lean (170-),Yes,"<span class=""pos pos28"">SUB",17.0,"Jun 21, 2018",,2023,5'7,137lbs,74.0,69.0,53.0,80.0,70.0,82.0,75.0,74.0,81.0,83.0,79.0,79.0,86.0,84.0,87.0,78.0,80.0,87.0,56.0,70.0,81.0,82.0,70.0,81.0,66.0,84.0,,79.0,72.0,7.0,16.0,15.0,11.0,15.0,CM,82.0,€37.5M,75.0,Premier league
