ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness,liga
176580, L. Suárez,33,https://cdn.sofifa.com/players/176/580/20_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,87,87,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,€31.5M,€115K,2316,Right,5.0,4.0,3.0,High/ Medium,PLAYER_BODY_TYPE_374,Yes,"<span class=""pos pos24"">RS",9.0,"Sep 25, 2020",,2022,6'0,190lbs,80.0,92.0,84.0,83.0,90.0,84.0,86.0,82.0,77.0,84.0,72.0,68.0,76.0,92.0,78.0,89.0,69.0,78.0,85.0,88.0,87.0,41.0,91.0,84.0,83.0,85.0,,45.0,38.0,27.0,25.0,31.0,33.0,37.0,ST,87.0,€64.6M,57.0,Santander
194765, A. Griezmann,29,https://cdn.sofifa.com/players/194/765/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,87,87,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€50.5M,€290K,2288,Left,4.0,3.0,4.0,Medium/ Medium,PLAYER_BODY_TYPE_266,Yes,"<span class=""pos pos23"">RW",7.0,"Jul 12, 2019",,2024,5'9,161lbs,83.0,88.0,83.0,84.0,87.0,87.0,86.0,85.0,82.0,89.0,80.0,79.0,91.0,92.0,83.0,81.0,90.0,86.0,63.0,82.0,73.0,49.0,89.0,85.0,86.0,89.0,,54.0,49.0,14.0,8.0,14.0,13.0,14.0,ST,87.0,€103.5M,59.0,Santander
224334, M. Acuña,28,https://cdn.sofifa.com/players/224/334/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,83,83,Sevilla FC,https://cdn.sofifa.com/teams/481/light_30.png,€22M,€41K,2280,Left,2.0,3.0,4.0,High/ High,Stocky (170-185),No,"<span class=""pos pos7"">LB",19.0,"Sep 14, 2020",,2024,5'8,152lbs,87.0,66.0,57.0,81.0,68.0,87.0,88.0,75.0,78.0,87.0,77.0,75.0,82.0,83.0,90.0,82.0,63.0,90.0,80.0,81.0,84.0,78.0,81.0,82.0,76.0,87.0,,82.0,79.0,8.0,14.0,13.0,13.0,14.0,LB,83.0,€46.2M,79.0,Santander
155862, Sergio Ramos,34,https://cdn.sofifa.com/players/155/862/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,89,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€24.5M,€300K,2258,Right,4.0,3.0,3.0,High/ Medium,PLAYER_BODY_TYPE_352,Yes,"<span class=""pos pos6"">LCB",4.0,"Aug 1, 2005",,2021,6'0,181lbs,66.0,65.0,92.0,82.0,69.0,65.0,74.0,76.0,83.0,83.0,72.0,70.0,78.0,92.0,66.0,79.0,93.0,81.0,85.0,64.0,90.0,88.0,73.0,71.0,92.0,88.0,,88.0,90.0,11.0,8.0,9.0,7.0,11.0,CB,89.0,€50.2M,85.0,Santander
177003, L. Modrić,34,https://cdn.sofifa.com/players/177/003/20_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,87,87,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€24.5M,€260K,2252,Right,4.0,4.0,4.0,High/ Medium,Lean (170-185),Yes,"<span class=""pos pos13"">RCM",10.0,"Aug 1, 2012",,2021,5'8,146lbs,86.0,72.0,55.0,91.0,76.0,85.0,85.0,78.0,89.0,90.0,76.0,70.0,91.0,88.0,92.0,79.0,68.0,84.0,58.0,82.0,62.0,79.0,78.0,90.0,82.0,92.0,,75.0,71.0,13.0,9.0,7.0,14.0,9.0,CM,87.0,€50.2M,68.0,Santander
158023, L. Messi,33,https://cdn.sofifa.com/players/158/023/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,93,93,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€67.5M,€560K,2231,Left,5.0,4.0,4.0,Medium/ Low,Messi,Yes,"<span class=""pos pos25"">ST",10.0,"Jul 1, 2004",,2021,5'7,159lbs,85.0,95.0,70.0,91.0,88.0,96.0,93.0,94.0,91.0,96.0,91.0,80.0,91.0,94.0,95.0,86.0,68.0,72.0,69.0,94.0,44.0,40.0,93.0,95.0,75.0,96.0,,35.0,24.0,6.0,11.0,15.0,14.0,8.0,RW,93.0,€138.4M,32.0,Santander
189332, Jordi Alba,31,https://cdn.sofifa.com/players/189/332/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,86,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€32M,€220K,2224,Left,3.0,3.0,3.0,High/ Medium,PLAYER_BODY_TYPE_268,Yes,"<span class=""pos pos7"">LB",18.0,"Jul 1, 2012",,2024,5'7,150lbs,85.0,73.0,70.0,84.0,60.0,81.0,80.0,63.0,79.0,84.0,88.0,88.0,90.0,82.0,85.0,64.0,80.0,88.0,61.0,66.0,76.0,81.0,83.0,78.0,59.0,80.0,,80.0,82.0,13.0,15.0,13.0,6.0,13.0,LB,86.0,€65.6M,74.0,Santander
200145, Casemiro,28,https://cdn.sofifa.com/players/200/145/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,89,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€59.5M,€310K,2220,Right,3.0,3.0,2.0,High/ High,PLAYER_BODY_TYPE_358,Yes,"<span class=""pos pos10"">CDM",14.0,"Jul 11, 2013",,2023,6'1,185lbs,58.0,64.0,80.0,84.0,63.0,69.0,63.0,74.0,84.0,79.0,60.0,69.0,61.0,87.0,66.0,88.0,87.0,90.0,91.0,81.0,91.0,87.0,72.0,80.0,66.0,84.0,,88.0,87.0,13.0,14.0,16.0,12.0,12.0,CDM,89.0,€122M,84.0,Santander
205632, L. Ocampos,25,https://cdn.sofifa.com/players/205/632/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,82,83,Sevilla FC,https://cdn.sofifa.com/teams/481/light_30.png,€26.5M,€40K,2216,Right,2.0,3.0,4.0,High/ High,Normal (185+),No,"<span class=""pos pos27"">LW",5.0,"Jul 3, 2019",,2024,6'2,185lbs,79.0,85.0,77.0,80.0,81.0,84.0,80.0,65.0,72.0,84.0,80.0,83.0,79.0,85.0,64.0,84.0,80.0,91.0,81.0,79.0,82.0,72.0,84.0,79.0,79.0,82.0,,61.0,55.0,11.0,8.0,15.0,12.0,7.0,ST,84.0,€57.6M,58.0,Santander
208421, Saúl,25,https://cdn.sofifa.com/players/208/421/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,84,87,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,€38.5M,€77K,2213,Left,3.0,4.0,3.0,High/ High,Lean (170-185),Yes,"<span class=""pos pos15"">LCM",8.0,"Jul 1, 2013",,2026,6'0,168lbs,69.0,78.0,83.0,85.0,76.0,81.0,73.0,60.0,83.0,85.0,67.0,69.0,73.0,84.0,69.0,82.0,80.0,87.0,77.0,81.0,76.0,79.0,82.0,83.0,68.0,83.0,,78.0,77.0,7.0,13.0,12.0,10.0,9.0,CM,86.0,€81.8M,77.0,Santander
